
Predictions were generated on 08-Sep-2020 at 15:27:37 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.478000	 1.434E-03	 5.703E-04	-3.293E-08
       0.480000	 1.441E-03	 5.689E-04	-3.321E-08
       0.482000	 1.448E-03	 5.675E-04	-3.348E-08
       0.484000	 1.455E-03	 5.660E-04	-3.375E-08
       0.486000	 1.461E-03	 5.645E-04	-3.401E-08
       0.488000	 1.468E-03	 5.629E-04	-3.428E-08
       0.490000	 1.474E-03	 5.613E-04	-3.454E-08
       0.492000	 1.481E-03	 5.597E-04	-3.479E-08
       0.494000	 1.487E-03	 5.580E-04	-3.504E-08
       0.496000	 1.493E-03	 5.563E-04	-3.529E-08
       0.498000	 1.500E-03	 5.545E-04	-3.554E-08
       0.500000	 1.506E-03	 5.527E-04	-3.578E-08
       0.502000	 1.512E-03	 5.508E-04	-3.601E-08
       0.504000	 1.518E-03	 5.489E-04	-3.624E-08
       0.506000	 1.523E-03	 5.469E-04	-3.647E-08
       0.508000	 1.529E-03	 5.449E-04	-3.669E-08
       0.510000	 1.535E-03	 5.428E-04	-3.691E-08
       0.512000	 1.540E-03	 5.407E-04	-3.712E-08
       0.514000	 1.546E-03	 5.385E-04	-3.733E-08
       0.516000	 1.551E-03	 5.363E-04	-3.753E-08
       0.518000	 1.556E-03	 5.340E-04	-3.772E-08
       0.520000	 1.561E-03	 5.316E-04	-3.791E-08
       0.522000	 1.566E-03	 5.292E-04	-3.810E-08
       0.524000	 1.571E-03	 5.266E-04	-3.828E-08
       0.526000	 1.576E-03	 5.241E-04	-3.845E-08
       0.528000	 1.580E-03	 5.214E-04	-3.862E-08
       0.530000	 1.585E-03	 5.187E-04	-3.878E-08
       0.532000	 1.590E-03	 5.159E-04	-3.894E-08
       0.534000	 1.594E-03	 5.131E-04	-3.909E-08
       0.536000	 1.598E-03	 5.102E-04	-3.924E-08
       0.538000	 1.602E-03	 5.072E-04	-3.938E-08
       0.540000	 1.607E-03	 5.041E-04	-3.951E-08
       0.542000	 1.611E-03	 5.010E-04	-3.965E-08
       0.544000	 1.614E-03	 4.978E-04	-3.977E-08
       0.546000	 1.618E-03	 4.945E-04	-3.989E-08
       0.548000	 1.622E-03	 4.912E-04	-4.001E-08
       0.550000	 1.626E-03	 4.878E-04	-4.013E-08
       0.552000	 1.629E-03	 4.843E-04	-4.023E-08
       0.554000	 1.633E-03	 4.808E-04	-4.034E-08
       0.556000	 1.636E-03	 4.772E-04	-4.044E-08
       0.558000	 1.640E-03	 4.736E-04	-4.054E-08
       0.560000	 1.643E-03	 4.699E-04	-4.063E-08
       0.562000	 1.646E-03	 4.662E-04	-4.072E-08
       0.564000	 1.649E-03	 4.624E-04	-4.081E-08
       0.566000	 1.653E-03	 4.586E-04	-4.090E-08
       0.568000	 1.656E-03	 4.547E-04	-4.098E-08
       0.570000	 1.659E-03	 4.508E-04	-4.106E-08
       0.572000	 1.662E-03	 4.468E-04	-4.114E-08
       0.574000	 1.665E-03	 4.429E-04	-4.122E-08
       0.576000	 1.667E-03	 4.389E-04	-4.129E-08
       0.578000	 1.670E-03	 4.348E-04	-4.136E-08
       0.580000	 1.673E-03	 4.308E-04	-4.144E-08
       0.582000	 1.676E-03	 4.267E-04	-4.151E-08
       0.584000	 1.678E-03	 4.225E-04	-4.157E-08
       0.586000	 1.681E-03	 4.184E-04	-4.164E-08
       0.588000	 1.684E-03	 4.142E-04	-4.171E-08
       0.590000	 1.686E-03	 4.101E-04	-4.177E-08
       0.592000	 1.689E-03	 4.059E-04	-4.183E-08
       0.594000	 1.691E-03	 4.016E-04	-4.190E-08
       0.596000	 1.694E-03	 3.974E-04	-4.196E-08
       0.598000	 1.696E-03	 3.931E-04	-4.202E-08
       0.600000	 1.699E-03	 3.889E-04	-4.208E-08
       0.602000	 1.701E-03	 3.846E-04	-4.214E-08
