
Predictions were generated on 11-Sep-2021 at 11:53:05 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.808000	 7.649E+00	 6.362E-01	-7.805E-01
       0.810000	 7.627E+00	 6.056E-01	-7.747E-01
       0.812000	 7.605E+00	 5.757E-01	-7.690E-01
       0.814000	 7.583E+00	 5.464E-01	-7.634E-01
       0.816000	 7.561E+00	 5.178E-01	-7.579E-01
       0.818000	 7.539E+00	 4.898E-01	-7.524E-01
       0.820000	 7.517E+00	 4.625E-01	-7.470E-01
       0.822000	 7.495E+00	 4.358E-01	-7.417E-01
       0.824000	 7.473E+00	 4.098E-01	-7.364E-01
       0.826000	 7.451E+00	 3.845E-01	-7.313E-01
       0.828000	 7.429E+00	 3.598E-01	-7.261E-01
       0.830000	 7.407E+00	 3.358E-01	-7.211E-01
       0.832000	 7.385E+00	 3.125E-01	-7.160E-01
       0.834000	 7.363E+00	 2.898E-01	-7.111E-01
       0.836000	 7.341E+00	 2.677E-01	-7.062E-01
       0.838000	 7.319E+00	 2.463E-01	-7.013E-01
       0.840000	 7.297E+00	 2.255E-01	-6.966E-01
       0.842000	 7.275E+00	 2.053E-01	-6.918E-01
       0.844000	 7.253E+00	 1.857E-01	-6.871E-01
       0.846000	 7.231E+00	 1.667E-01	-6.825E-01
       0.848000	 7.209E+00	 1.483E-01	-6.779E-01
       0.850000	 7.186E+00	 1.305E-01	-6.734E-01
       0.852000	 7.164E+00	 1.132E-01	-6.689E-01
       0.854000	 7.142E+00	 9.639E-02	-6.644E-01
       0.856000	 7.120E+00	 8.014E-02	-6.601E-01
       0.858000	 7.098E+00	 6.439E-02	-6.557E-01
       0.860000	 7.076E+00	 4.914E-02	-6.514E-01
       0.862000	 7.053E+00	 3.436E-02	-6.472E-01
       0.864000	 7.031E+00	 2.005E-02	-6.430E-01
       0.866000	 7.009E+00	 6.187E-03	-6.388E-01
       0.868000	 6.987E+00	-7.240E-03	-6.347E-01
       0.870000	 6.965E+00	-2.024E-02	-6.306E-01
       0.872000	 6.943E+00	-3.283E-02	-6.266E-01
       0.874000	 6.921E+00	-4.501E-02	-6.226E-01
       0.876000	 6.898E+00	-5.679E-02	-6.187E-01
       0.878000	 6.876E+00	-6.819E-02	-6.148E-01
       0.880000	 6.854E+00	-7.920E-02	-6.110E-01
       0.882000	 6.832E+00	-8.983E-02	-6.072E-01
       0.884000	 6.810E+00	-1.001E-01	-6.034E-01
       0.886000	 6.789E+00	-1.100E-01	-5.997E-01
       0.888000	 6.767E+00	-1.195E-01	-5.961E-01
       0.890000	 6.745E+00	-1.286E-01	-5.925E-01
       0.892000	 6.723E+00	-1.374E-01	-5.889E-01
       0.894000	 6.701E+00	-1.458E-01	-5.854E-01
       0.896000	 6.680E+00	-1.539E-01	-5.819E-01
       0.898000	 6.658E+00	-1.615E-01	-5.785E-01
       0.900000	 6.637E+00	-1.688E-01	-5.751E-01
       0.902000	 6.615E+00	-1.756E-01	-5.718E-01
       0.904000	 6.594E+00	-1.821E-01	-5.685E-01
